[2026-08-18 22:01:10,841] WARNING [django.server:212] "GET /api/notifications/ HTTP/1.1" 401 275
[2026-08-18 22:12:11,212] WARNING [django.server:212] "GET /api/auth/me/ HTTP/1.1" 401 275
[2026-08-18 22:12:11,233] INFO [django.server:212] "GET /api/products/ HTTP/1.1" 200 9112
[2026-08-18 22:12:11,253] WARNING [django.server:212] "GET /api/subscriptions/ HTTP/1.1" 401 275
[2026-08-18 22:12:11,271] WARNING [django.server:212] "GET /api/deliveries/ HTTP/1.1" 401 275
[2026-08-18 22:12:11,273] WARNING [django.server:212] "GET /api/wallet/transactions/ HTTP/1.1" 401 275
[2026-08-18 22:12:11,276] WARNING [django.server:212] "GET /api/notifications/ HTTP/1.1" 401 275
[2026-08-18 22:44:34,301] INFO [django.utils.autoreload:265] /Users/galimanideepreddy/Documents/milk_delivery/milk_delivery_backend/milk_backend/settings.py changed, reloading.
[2026-08-18 22:44:34,574] INFO [django.utils.autoreload:667] Watching for file changes with StatReloader
[2026-08-18 22:44:41,845] INFO [django.utils.autoreload:265] /Users/galimanideepreddy/Documents/milk_delivery/milk_delivery_backend/milk_backend/settings.py changed, reloading.
[2026-08-18 22:44:41,999] INFO [django.utils.autoreload:667] Watching for file changes with StatReloader
[2026-08-18 23:05:15,857] INFO [django.utils.autoreload:265] /Users/galimanideepreddy/Documents/milk_delivery/milk_delivery_backend/milk_backend/settings.py changed, reloading.
[2026-08-18 23:05:16,187] INFO [django.utils.autoreload:667] Watching for file changes with StatReloader
